Season,DayNum,WTeamID,WScore,WTeamSeed,LTeamID,LScore,LTeamSeed,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF,Score
2022,138,1276,76,11,1397,68,3,0,27,54,6,16,16,20,6,27,15,14,4,6,12,28,67,2,18,10,12,10,21,15,6,7,4,18,0
2006,136,1397,63,2,1457,61,15,0,24,53,5,21,10,14,11,22,12,13,6,6,15,22,56,7,24,10,17,15,20,14,15,7,3,15,1
2014,137,1397,86,11,1269,67,6,0,30,56,2,14,24,31,10,27,16,12,8,3,13,28,66,3,11,8,11,14,19,12,13,8,1,21,1
2008,143,1257,79,3,1397,60,2,0,26,50,4,14,23,30,9,34,14,20,6,7,23,19,56,5,20,17,25,8,20,12,17,11,1,26,0
2023,136,1397,58,4,1418,55,13,0,21,46,4,16,12,21,5,22,16,16,9,4,14,22,55,6,18,5,9,6,17,12,14,8,0,19,1
2014,135,1397,78,11,1234,65,11,1,24,54,5,21,25,30,10,27,13,8,2,1,14,24,58,4,16,13,15,7,23,14,6,2,2,28,1
2021,137,1333,70,12,1397,56,5,0,27,56,10,21,6,10,10,30,20,14,5,6,13,21,63,5,26,9,12,13,20,10,10,8,2,16,0
2024,136,1397,83,2,1389,49,15,0,27,53,11,24,18,25,9,30,19,15,4,5,17,16,55,4,24,13,19,7,11,3,6,4,1,22,1
2008,137,1397,72,2,1110,57,15,0,22,45,6,19,22,31,6,21,13,14,12,3,16,21,58,9,25,6,12,18,21,9,22,5,3,26,1
2010,136,1397,62,6,1361,59,11,0,20,52,8,17,14,18,13,19,10,11,3,3,19,20,52,3,18,16,21,11,22,10,10,3,6,16,1
2011,137,1276,75,8,1397,45,9,0,33,64,9,26,0,1,12,24,20,11,5,2,17,15,43,3,18,12,16,6,20,10,18,4,5,13,0
2010,144,1397,76,6,1326,73,2,0,30,64,4,15,12,15,20,21,15,16,6,3,20,25,58,9,23,14,19,13,16,14,11,6,3,16,1
2022,136,1397,88,3,1255,56,14,0,33,55,14,24,8,11,5,23,29,12,13,1,14,20,52,7,22,9,11,6,16,15,15,9,1,13,1
2024,146,1345,72,1,1397,66,2,0,24,53,3,15,21,33,8,32,16,10,5,2,12,24,62,11,26,7,11,6,17,17,6,8,4,25,0
2014,139,1397,83,11,1273,63,14,0,27,55,6,22,23,26,18,23,15,7,2,0,14,24,53,8,22,7,9,7,12,11,6,3,4,21,1
2006,138,1455,80,7,1397,73,2,0,24,48,9,15,23,29,9,25,16,13,3,2,12,27,67,10,29,9,13,18,20,15,10,9,7,20,0
2023,138,1397,65,4,1181,52,5,0,23,57,9,21,10,13,10,20,15,8,8,5,11,21,49,6,22,4,7,3,22,10,14,3,4,17,1
2019,137,1397,77,2,1159,70,15,0,30,64,9,26,8,11,12,23,13,8,7,5,12,25,56,15,29,5,6,8,23,10,13,3,1,15,1
2023,143,1194,62,9,1397,55,4,0,21,50,8,27,12,16,11,27,12,12,1,2,14,21,63,6,23,7,12,15,18,12,6,7,1,18,0
2007,137,1397,121,5,1253,86,12,0,43,73,14,27,21,30,16,27,25,6,11,4,20,32,65,12,21,10,14,9,19,11,13,2,3,23,1
2018,138,1260,63,11,1397,62,3,0,22,44,8,20,11,16,5,22,17,10,3,1,13,25,55,9,25,3,6,6,18,15,7,8,2,17,0
2010,138,1397,83,6,1325,68,14,0,34,60,5,14,10,18,11,30,21,16,8,3,22,22,58,10,26,14,26,14,19,15,14,9,1,17,1
2024,138,1397,62,2,1400,58,7,0,22,65,3,25,15,18,13,27,11,11,9,3,15,20,55,7,23,11,12,6,23,6,16,5,3,16,1
2010,146,1277,70,5,1397,69,6,0,24,52,6,18,16,21,13,14,12,11,8,8,20,24,47,7,16,14,21,10,17,11,10,6,3,15,0
2019,139,1397,83,2,1234,77,10,1,28,60,8,20,19,23,13,28,12,17,6,5,23,23,59,7,21,24,32,13,21,8,12,6,3,21,1
2019,143,1345,99,3,1397,94,2,1,34,63,15,31,16,33,11,32,16,8,4,5,23,34,68,12,24,14,28,11,27,16,7,5,5,26,0
2007,139,1397,77,5,1438,74,4,0,22,54,11,26,22,32,12,27,12,16,7,0,25,18,48,7,26,31,36,6,23,5,12,5,5,26,1
2008,139,1397,76,2,1139,71,7,1,26,59,5,19,19,29,16,30,12,20,5,3,24,22,61,9,26,18,28,15,24,11,14,11,1,25,1
2009,137,1329,77,8,1397,75,9,0,30,53,7,21,10,13,8,23,13,12,5,0,19,24,56,11,33,16,21,11,17,16,11,4,1,16,0
2018,136,1397,73,3,1460,47,14,0,27,60,5,18,14,16,13,31,13,12,6,6,17,19,60,4,21,5,9,11,21,9,13,5,2,17,1
2007,143,1326,85,1,1397,84,5,0,27,51,8,22,23,35,8,25,13,8,3,5,17,30,62,16,31,8,17,10,24,14,7,4,1,24,0
2014,144,1276,73,2,1397,71,11,0,27,49,11,20,8,10,6,20,14,13,5,1,13,30,57,3,11,8,14,11,17,11,7,7,8,13,0
